cliente,reference_month,document_type,source,status,file_path,criado_em
CONDOMINIO IDEAL FLORES DA CIDADE,2026-03-01,comprovante_va,dp,VAZIO,,2026-04-27
CONDOMINIO IDEAL FLORES DA CIDADE,2026-03-01,comprovante_va,dp,VAZIO,,2026-04-27
CONDOMINIO IDEAL FLORES DA CIDADE,2026-03-01,comprovante_va,dp,VAZIO,,2026-04-27
CONDOMINIO IDEAL FLORES DA CIDADE,2026-03-01,comprovante_va,dp,VAZIO,,2026-04-27
CONDOMINIO IDEAL FLORES DA CIDADE,2026-03-01,comprovante_va,dp,VAZIO,,2026-04-27
CONDOMINIO IDEAL FLORES DA CIDADE,2026-03-01,comprovante_va,dp,VAZIO,,2026-04-27
CONDOMINIO IDEAL FLORES DA CIDADE,2026-03-01,comprovante_va,dp,VAZIO,,2026-04-27
CONDOMINIO IDEAL FLORES DA CIDADE,2026-03-01,comprovante_va,dp,VAZIO,,2026-04-27
CONDOMINIO IDEAL FLORES DA CIDADE,2026-03-01,comprovante_va,dp,VAZIO,,2026-04-27
CONDOMINIO IDEAL FLORES DA CIDADE,2026-03-01,comprovante_vr,dp,VAZIO,,2026-04-27
CONDOMINIO IDEAL FLORES DA CIDADE,2026-03-01,comprovante_vr,dp,VAZIO,,2026-04-27
CONDOMINIO IDEAL FLORES DA CIDADE,2026-03-01,comprovante_vr,dp,VAZIO,,2026-04-27
CONDOMINIO IDEAL FLORES DA CIDADE,2026-03-01,comprovante_vr,dp,VAZIO,,2026-04-27
CONDOMINIO IDEAL FLORES DA CIDADE,2026-03-01,comprovante_vr,dp,VAZIO,,2026-04-27
CONDOMINIO IDEAL FLORES DA CIDADE,2026-03-01,comprovante_vr,dp,VAZIO,,2026-04-27
CONDOMINIO IDEAL FLORES DA CIDADE,2026-03-01,comprovante_vr,dp,VAZIO,,2026-04-27
CONDOMINIO IDEAL FLORES DA CIDADE,2026-03-01,comprovante_vr,dp,VAZIO,,2026-04-27
CONDOMINIO IDEAL FLORES DA CIDADE,2026-03-01,comprovante_vr,dp,VAZIO,,2026-04-27
